series,custom name,total count
Buick/Encore,Miles traveled,4128.185077679438
Toyota/Fortuner,Miles traveled,4125.37995883839
OPEL/Astra,Miles traveled,4109.652514359857
Kia/Carnival,Miles traveled,4040.6988448641514
Honda/Element,Miles traveled,4028.967821507683
Mitsubishi/Colt,Miles traveled,3999.4592534727844
Chevrolet/tahoee,Miles traveled,3955.15615409575
Chevrolet/Silverado,Miles traveled,3931.9971252798546
JAECOO/J7,Miles traveled,3918.172501150582
Mercedes-Benz/Vito,Miles traveled,3915.624553631135
Jetour/X70,Miles traveled,3911.3080938418543
Audi/A6 allroad,Miles traveled,3883.5218368630417
Volkswagen/golfcity,Miles traveled,3840.760515593388
Volkswagen/ID.7,Miles traveled,3776.0816611640153
Volkswagen/Atlas Cross Sport,Miles traveled,3749.977721866895
Acura/Integra,Miles traveled,3738.585720567411
Lucid/Air,Miles traveled,3736.4654095138817
Audi/S5,Miles traveled,3675.0951403222084
Toyota/Crown,Miles traveled,3613.0145070982717
Lexus/UX 200,Miles traveled,3586.110484405182
Hyundai/Tucson Hybrid,Miles traveled,3570.4133719102665
Volvo/S40,Miles traveled,3551.3866377998074
Honda/Prologue,Miles traveled,3501.9000661279747
MG/GT,Miles traveled,3478.473994690363
Volkswagen/T-Cross,Miles traveled,3477.369613861096
Ford/EcoSport,Miles traveled,3460.788543650375
MINI/Convertible,Miles traveled,3391.464077230424
Chery/Tiggo 7 Pro,Miles traveled,3384.131718996805
Scion/xB,Miles traveled,3374.4147598920704
Nissan/Nissan Z,Miles traveled,3366.731013797121
BYD/Seal,Miles traveled,3314.617681937746
Mitsubishi/Triton,Miles traveled,3305.3576161214064
Renault/Kangoo,Miles traveled,3261.928134867566
Toyota/Alphard,Miles traveled,3253.4255161234796
Tesla/Cybertruck,Miles traveled,3237.3035218207647
BMW/4 Series Plug-in Hybrid,Miles traveled,3213.4589189349567
Nissan/NT400,Miles traveled,3212.9862549248082
Lexus/LBX,Miles traveled,3208.2015919899227
Nissan/NV400,Miles traveled,3200.530458377298
Holden/Commodore,Miles traveled,3163.0398379538965
BYD/Atto 3,Miles traveled,3113.507952965945
Hyundai/Venue,Miles traveled,3111.13033495135
Hyundai/Ioniq,Miles traveled,3036.4070960413
Renault/Kadjar,Miles traveled,3025.1184994600235
Vauxhall-Opel/Mokka,Miles traveled,2965.372107185709
Hyundai/Bayon,Miles traveled,2930.9453014606806
Zeekr/001,Miles traveled,2887.6708779076907
Cupra/Formentor,Miles traveled,2873.070871113594
Renault/Clio,Miles traveled,2869.9995429453356
Volkswagen/T5 Transporter,Miles traveled,2854.0733311486806
Dodge/Dart,Miles traveled,2821.239419628026
Lincoln/Navigator,Miles traveled,2796.3984414453244
Lincoln/Nautilus,Miles traveled,2795.1988708675094
MG/MG3,Miles traveled,2772.375460529482
Volvo/EX30,Miles traveled,2736.0667924050003
Toyota/GR86,Miles traveled,2711.1945549804595
Land Rover/LR3,Miles traveled,2685.9907460156687
Mercedes-Benz/CLS 350,Miles traveled,2621.895911149208
Mazda/CX-3,Miles traveled,2614.9696591581355
Kia/Picanto,Miles traveled,2606.0889792912344
OPEL/Insignia,Miles traveled,2570.6412094723005
Suzuki/Splash,Miles traveled,2552.4621654018883
Volkswagen/Touran,Miles traveled,2518.9906287643767
Alfa Romeo/Stelvio,Miles traveled,2489.1959736827657
MG Rover/Rover 25,Miles traveled,2469.54347337557
Chevrolet/Onix,Miles traveled,2432.8585074528546
Jaguar/XF,Miles traveled,2387.761433539891
Lancia/Delta,Miles traveled,2364.298687995403
Mercedes-Benz/GLC-Class,Miles traveled,2341.1245544699273
FIAT/Fastback,Miles traveled,2322.853651166055
Audi/A8,Miles traveled,2257.652346229983
MG/RX9,Miles traveled,2248.1731850085785
Peugeot/108,Miles traveled,2221.362194086252
Mercedes-Benz/EQB,Miles traveled,2215.7830041961915
Nissan/Rogue Select,Miles traveled,2134.269805089569
Volkswagen/Jetta SportWagen,Miles traveled,2133.7610228341964
Hyundai/Creta,Miles traveled,2127.5342025811988
Jeep/Grand cheroki,Miles traveled,2115.861482433504
MG/hector,Miles traveled,2087.266347004793
Hummer/H2,Miles traveled,2087.1467603472165
Nissan/Juke,Miles traveled,2083.4982783276564
FIAT/Ducato,Miles traveled,2079.3698717183306
Chevrolet/Captiva,Miles traveled,2072.4506729151276
Lincoln/Zephyr,Miles traveled,2064.6565701060135
Subaru/Impreza Sport,Miles traveled,2040.5886279854376
Abarth/595,Miles traveled,2017.7679343182017
Hyundai/Santa Cruz,Miles traveled,2010.170959160401
Dacia/Spring,Miles traveled,2001.1756975904545
Cadillac/Catera,Miles traveled,1965.9757902854506
Jaguar/XK,Miles traveled,1952.9049900581438
MG/One,Miles traveled,1952.8229475963724
Toyota/Mirai,Miles traveled,1924.866555019613
Volkswagen/Eos,Miles traveled,1921.1372601455362
Toyota/Avensis,Miles traveled,1920.3774498091825
FIAT/124 Spider,Miles traveled,1916.78781147782
Renault/R 5,Miles traveled,1912.5027097998402
Mitsubishi/Outlander PHEV,Miles traveled,1893.005574205511
GAC/Empow,Miles traveled,1889.1700557937456
Volvo/S70,Miles traveled,1880.5564178070904
Volvo/EX90,Miles traveled,1861.9567446983292
Renault/Espace,Miles traveled,1848.8897357074384
Peugeot/Rifter,Miles traveled,1846.0777641965126
Suzuki/Vitara,Miles traveled,1841.0601503205826
Acura/TL,Miles traveled,1837.005738673978
Land Rover/Vouge,Miles traveled,1795.5218043960995
Toyota/Vitz,Miles traveled,1787.2644532822096
Kia/Carens,Miles traveled,1781.1597848350902
Genesis/GV60,Miles traveled,1764.2871011358975
Chevrolet/Suburban,Miles traveled,1752.2729797466436
Lincoln/Town Car,Miles traveled,1719.494344013545
MINI/Clubman,Miles traveled,1706.4987544900719
Ford/E-450,Miles traveled,1685.7302258282796
Chevrolet/C/K 1500 Series,Miles traveled,1684.0864800992601
Changan/Eado,Miles traveled,1679.6234939651602
Kia/Cerato,Miles traveled,1676.4841952519046
Nissan/Xterra,Miles traveled,1648.5746748637725
Audi/S8,Miles traveled,1636.8777511077128
Mazda/Mazdaspeed MX-5,Miles traveled,1634.2288208365044
MG/EHS,Miles traveled,1621.1592885249242
Jetour/X50,Miles traveled,1611.4963591469702
BMW/M2,Miles traveled,1599.4132211170775
/2021,Miles traveled,1574.9772251367306
Audi/A1,Miles traveled,1571.2462657080557
GWM/Haval Jolion,Miles traveled,1559.1826622359551
Ford/Tourneo,Miles traveled,1555.1644632311022
Ford/Turus,Miles traveled,1550.1987534492566
Saab/9-3,Miles traveled,1546.1966643087294
Audi/Q4,Miles traveled,1531.4270528216025
Nissan/NP300,Miles traveled,1504.6952348449724
Mercedes-Benz/350-Class,Miles traveled,1502.575002772722
MG/HS,Miles traveled,1494.3193694742777
Jeep/Avenger,Miles traveled,1485.345824230158
Volkswagen/New Beetle,Miles traveled,1465.0558244900876
Hyundai/Ioniq Electric,Miles traveled,1463.1425749435782
Chevrolet/Spark,Miles traveled,1461.5554280460055
Mercedes-Benz/CLK-Class,Miles traveled,1457.0405332644712
Polestar/4,Miles traveled,1446.7343057855303
Defender/Land rover,Miles traveled,1435.9124775783162
GWM/Tank 300,Miles traveled,1435.2668319213155
Land Rover/Range Rover Evoque,Miles traveled,1426.641957077636
Volvo/V40,Miles traveled,1413.1251385655444
Hyundai/Tousane,Miles traveled,1409.2149290744308
Jaguar/F-Type,Miles traveled,1401.8990791553267
/Camry Hybrid,Miles traveled,1399.8554126411898
Nissan/Kicks MPV,Miles traveled,1394.910801126731
Ford/Torus,Miles traveled,1388.5862912668092
Ford/Territory,Miles traveled,1364.59911580357
BMW/X4,Miles traveled,1360.6208020249085
Toyota/Celica,Miles traveled,1356.853945711246
Porsche/Cayman,Miles traveled,1351.5585439311772
Ineos/Grenadier,Miles traveled,1345.736148916321
Chrysler/Town & Country,Miles traveled,1342.9196555556175
Mitsubishi/Lancer,Miles traveled,1320.89507922375
Chery/Arrizo 6 Pro,Miles traveled,1314.468118915201
Dacia/Sandero,Miles traveled,1307.754684765922
Omoda/C5,Miles traveled,1302.7941662616433
Mercedes-Benz/GLB-Class,Miles traveled,1289.552044703945
Cadillac/CT4,Miles traveled,1261.8245609945275
Buick/LaCrosse,Miles traveled,1258.708766576318
Mitsubishi/Pajero,Miles traveled,1252.7345400213396
Pontiac/Grand Safari,Miles traveled,1244.0046980210525
Mercedes-Benz/E Class coupe,Miles traveled,1241.9383444944144
Kia/K7,Miles traveled,1188.6828317401262
