series,custom name,total count
Genesis/Electrified GV70,Miles traveled,3612.3618724214257
Jeep/Compass,Miles traveled,3593.2941757150443
BMW/7 Series,Miles traveled,3592.260281541529
Nissan/Pathfinder,Miles traveled,3588.3305199987417
Toyota/Landcruiser Hybrid,Miles traveled,3548.222268196799
Toyota/FJ Cruiser,Miles traveled,3492.4600110301553
Volkswagen/Taos,Miles traveled,3463.3288325184126
Honda/Odyssey,Miles traveled,3454.69981065516
Haval/Jolion HEV,Miles traveled,3454.3236579919926
Mazda/MX-5 Miata RF,Miles traveled,3383.5753801797673
Lexus/RX 300,Miles traveled,3354.6329093837257
Lexus/NX,Miles traveled,3282.8208997796633
BMW/4 Series Plug-in Hybrid,Miles traveled,3211.717442597067
Volkswagen/T-Cross,Miles traveled,3203.6730745129535
MINI/Cooper SE,Miles traveled,3185.239546668626
BYD/Seal,Miles traveled,3183.172958521584
Land Rover/LR4,Miles traveled,3139.0987890925717
Toyota/Corolla Cross Hybrid,Miles traveled,3112.893312444239
Nissan/X-Trail,Miles traveled,3078.6479648578443
Ford/Expedition,Miles traveled,3074.695284151148
Dacia/Duster,Miles traveled,3040.847526263258
Hyundai/Ioniq,Miles traveled,3029.4965309687423
Lexus/UX 250,Miles traveled,3014.6580375319486
Toyota/Avalon,Miles traveled,3005.871967697652
Mercedes-Benz/S-Class,Miles traveled,2991.8181264416153
Renault/Scenic E-Tech,Miles traveled,2948.0216398683565
Tesla/Cybertruck,Miles traveled,2945.7617826255305
Lexus/IS 500,Miles traveled,2937.875068856749
MINI/Hardtop,Miles traveled,2922.1266677923345
Audi/Q7,Miles traveled,2916.3873194043554
Lexus/ES,Miles traveled,2896.9499628676804
Honda/Ridgeline,Miles traveled,2896.3417400483568
Toyota/C-HR,Miles traveled,2886.8548215514083
ZEEKR/Tugella,Miles traveled,2885.6350324603313
Volvo/C30,Miles traveled,2850.540327277834
Cadillac/Escalade,Miles traveled,2843.79390398026
Hyundai/Elentra,Miles traveled,2828.584263531301
Audi/allroad quattro,Miles traveled,2806.292678880439
MG/MG6,Miles traveled,2801.1930585314753
Lincoln/Navigator,Miles traveled,2796.398441445323
Lexus/IS 300,Miles traveled,2779.287754140308
Toyota/Venza Hybrid,Miles traveled,2778.1228216237373
Toyota/Venza,Miles traveled,2755.9594075770397
Kia/Rio,Miles traveled,2724.675803808675
Chevrolet/Corvette,Miles traveled,2705.9802208990404
Volkswagen/Atlas Cross Sport,Miles traveled,2678.6783895575654
Mazda/Mazdaspeed 6,Miles traveled,2641.0869133784404
Honda/2024,Miles traveled,2609.8203607954465
Hyundai/Avanti,Miles traveled,2559.74079446578
Volvo/V90,Miles traveled,2559.560914090383
Honda/Clarity,Miles traveled,2540.647293976393
BMW/530,Miles traveled,2538.5918450055037
Cupra/Formentor,Miles traveled,2488.6145263382614
Nissan/Versa,Miles traveled,2487.557802021596
Dodge/Durango,Miles traveled,2481.5214218380966
MAN/TGE,Miles traveled,2475.567502950086
Nissan/NT400,Miles traveled,2470.704318099668
Volkswagen/ID.3,Miles traveled,2460.4597984366746
Toyota/GR86,Miles traveled,2449.316692804526
BYD/Atto 3,Miles traveled,2419.1583593299497
Lexus/GX 460,Miles traveled,2406.68608918497
BMW/1 Series,Miles traveled,2396.03819992756
Chevrolet/Silverado,Miles traveled,2377.4950292388207
Lancia/Delta,Miles traveled,2364.2986879954033
MG/Hector,Miles traveled,2337.509284490108
Ford/2018,Miles traveled,2330.7232508368297
FIAT/Fastback,Miles traveled,2319.7883221634556
GMC/Terrain,Miles traveled,2318.088937592151
Mercedes-Benz/C 280,Miles traveled,2294.54991404004
Mercedes-Benz/GLC-Class,Miles traveled,2264.753070431594
Lexus/RX 350,Miles traveled,2259.3625520433156
Ford/Kuga,Miles traveled,2235.5526354669364
Audi/S3,Miles traveled,2221.5030300339718
Mercedes-Benz/C 350,Miles traveled,2220.678211909842
Chevrolet/Trax,Miles traveled,2220.1363826268744
Renault/Kadjar,Miles traveled,2215.2353341238872
Volkswagen/Touran,Miles traveled,2207.671285169419
McLaren/Artura,Miles traveled,2179.833862115913
BMW/M240i,Miles traveled,2129.709986441404
Acura/MDX,Miles traveled,2040.25446474285
Honda/Fit,Miles traveled,2028.8424311378537
Abarth/595,Miles traveled,2017.7679343182024
Volvo/XC40 Recharge,Miles traveled,2002.254831661427
Volkswagen/Golf GTI,Miles traveled,1972.8998583472644
Hyundai/Tucson Hybrid,Miles traveled,1968.8968080104116
Ford/F-450,Miles traveled,1968.146841822866
Lexus/GS 300,Miles traveled,1963.7402246759664
Toyota/Yaris Cross,Miles traveled,1945.5850795667427
Mercedes-Benz/W212/E300,Miles traveled,1945.1956673842765
Lexus/RX,Miles traveled,1918.9605365776272
Hyundai/Sedan,Miles traveled,1909.9846392584764
Kia/Niro HEV,Miles traveled,1892.7256178942403
Hyundai/Venue,Miles traveled,1884.9124682795339
Volvo/S70,Miles traveled,1880.5564178070897
Acura/Integra,Miles traveled,1873.8672173646903
Genesis/GV80,Miles traveled,1872.389609742873
Nissan/Titan,Miles traveled,1865.383286829882
Hyundai/Bayon,Miles traveled,1859.785811221373
FIAT/124 Spider,Miles traveled,1849.6765274698362
Dacia/Duster III,Miles traveled,1832.8339547751698
Lexus/IS,Miles traveled,1820.873484183393
Kia/Carens,Miles traveled,1773.3357704640573
Mercedes-Benz/E 220,Miles traveled,1753.6262950063026
Alfa Romeo/Stelvio,Miles traveled,1713.3576028246425
Volkswagen/Eos,Miles traveled,1708.1188076170763
Ford/E-450,Miles traveled,1685.6326574277255
Volvo/XC40,Miles traveled,1668.847864581909
BMW/E46,Miles traveled,1664.9098337949897
Nissan/Rogue Select,Miles traveled,1648.7074712858926
MINI/Clubman,Miles traveled,1625.5687971413947
Mercedes-Benz/EQB,Miles traveled,1624.7492332821578
Ford/EcoSport,Miles traveled,1606.6576466979236
Lexus/UX,Miles traveled,1571.2952433776027
Land Rover/110,Miles traveled,1555.9212595039342
Chevrolet/Traverse,Miles traveled,1545.5506744655215
BMW/1 Series M,Miles traveled,1544.370917748951
Ford/Tourneo,Miles traveled,1540.3961346824935
Subaru/Solterra,Miles traveled,1533.3088018112055
Kia/Sportage 3,Miles traveled,1523.609641727391
Hyundai/Santa Cruz,Miles traveled,1520.5490872357698
Audi/Q4,Miles traveled,1512.6864953301656
Volkswagen/New Beetle,Miles traveled,1465.055824490088
BMW/328i,Miles traveled,1456.0062801853687
Dacia/Spring,Miles traveled,1441.8463117368763
Volvo/V40,Miles traveled,1402.4145351596635
Jaguar/F-TYPE,Miles traveled,1401.4349226622794
Changan/Eado,Miles traveled,1370.0139711673676
Ford/Fusion Energi,Miles traveled,1368.575059252732
OPEL/Astra K,Miles traveled,1367.1513591776902
MINI/Cooper Countryman,Miles traveled,1361.438422538355
Lexus/Lexus,Miles traveled,1357.9937359337632
Volkswagen/T5 Transporter,Miles traveled,1347.7951377235695
Seat/Leon SC,Miles traveled,1346.4733621846897
Nissan/Xterra,Miles traveled,1342.582093232624
MINI/Cooper S,Miles traveled,1327.8959688012833
Toyota/Alphard,Miles traveled,1307.5427561516012
Kia/Sportage 4,Miles traveled,1300.1428622480769
Kia/Picanto 3,Miles traveled,1297.73591107799
Land Rover/Defender P400,Miles traveled,1285.3355797177662
Renault/Espace,Miles traveled,1284.3782441664082
MINI/Convertible,Miles traveled,1282.871900763346
Omoda/C5,Miles traveled,1272.0950843398527
Kia/Cerato,Miles traveled,1257.9373208976838
GMC/Yukon XL,Miles traveled,1232.351679255508
Audi/A1,Miles traveled,1230.6438648108046
Mercedes-Benz/E 350,Miles traveled,1214.1213493902344
Mitsubishi/Montero,Miles traveled,1195.259251113403
Chevrolet/Captiva,Miles traveled,1189.9796395337112
Ford/Mondeo Turnier,Miles traveled,1185.543075191328
Hyundai/Krita,Miles traveled,1178.8619210262486
Scion/tC,Miles traveled,1176.57053244487
Chevrolet/Suburban,Miles traveled,1165.8549242502222
BMW/i5,Miles traveled,1161.3945384725164
MG/HS,Miles traveled,1146.9389504037117
