series,custom name,total count
Kia/Picanto,# of stigs,4
BMW/6 Series,# of stigs,4
Volkswagen/Touran,# of stigs,4
BMW/XM,# of stigs,4
Dodge/Dakota,# of stigs,4
Jaecoo/J7,# of stigs,4
Chevrolet/Groove,# of stigs,4
Cadillac/XT4,# of stigs,4
Chery/Tiggo 7 Pro,# of stigs,4
Audi/Q8 e-tron,# of stigs,4
Nissan/370Z,# of stigs,4
Volkswagen/Nivus,# of stigs,4
Saab/9-3,# of stigs,4
Jaguar/E-PACE,# of stigs,4
Toyota/Urban Cruiser,# of stigs,4
Volkswagen/Virtus,# of stigs,4
Ford/Crown Victoria,# of stigs,4
Jeep/Liberty,# of stigs,4
Chevrolet/Cobalt,# of stigs,4
BYD/Shark 6,# of stigs,4
GWM/Steed,# of stigs,4
Chevrolet/Aveo,# of stigs,4
GWM/Cannon,# of stigs,4
Volkswagen/Beetle,# of stigs,4
Toyota/GT86,# of stigs,4
Mitsubishi/Mirage,# of stigs,4
Audi/RS 5,# of stigs,4
Mercedes-Benz/GLC-Class Coupe,# of stigs,4
Geely/Coolray,# of stigs,4
BMW/iX1,# of stigs,4
BMW/i7,# of stigs,4
Alfa Romeo/Tonale,# of stigs,4
Perodua/Myvi,# of stigs,4
Kia/K3,# of stigs,4
Renault/Grand Scenic,# of stigs,4
BYD/Dolphin,# of stigs,4
Haval/H9,# of stigs,4
Renault/R 5,# of stigs,4
Volkswagen/Up,# of stigs,4
Suzuki/SX4,# of stigs,4
Vauxhall-Opel/Crossland,# of stigs,4
Cadillac/CT4,# of stigs,4
Genesis/GV60,# of stigs,4
Hyundai/Ioniq,# of stigs,4
BMW/4 Series Gran Coupe,# of stigs,4
Audi/SQ8,# of stigs,4
GMC/Hummer EV,# of stigs,4
Jeep/Commander,# of stigs,4
Nissan/Pulsar,# of stigs,4
Peugeot/206,# of stigs,4
BMW/M5,# of stigs,4
Mercury/Grand Marquis,# of stigs,4
Tesla/Model S,# of stigs,4
Hyundai/Bayon,# of stigs,4
Mercedes-Benz/Sprinter,# of stigs,4
Toyota/Auris,# of stigs,4
Volvo/S40,# of stigs,4
Nissan/Note,# of stigs,4
Abarth/595,# of stigs,4
Lincoln/Corsair,# of stigs,4
MG/Marvel R,# of stigs,3
Chevrolet/Tracker,# of stigs,3
Seat/Exeo,# of stigs,3
Renault/Koleos,# of stigs,3
Audi/SQ7,# of stigs,3
Acura/ZDX,# of stigs,3
Dodge/Avenger,# of stigs,3
Cupra/Terramar,# of stigs,3
BYD/K8M,# of stigs,3
Volkswagen/Eos,# of stigs,3
Mercedes-Benz/B-Class,# of stigs,3
Peugeot/Expert,# of stigs,3
Nissan/350Z,# of stigs,3
Toyota/Solara,# of stigs,3
Smart/Fortwo,# of stigs,3
Ford/C-Max,# of stigs,3
Volvo/V50,# of stigs,3
Chery/Tiggo 4 Pro,# of stigs,3
Nissan/Rogue Sport,# of stigs,3
BYD/Dolphin Mini,# of stigs,3
Tata/Nexon,# of stigs,3
Lexus/RC,# of stigs,3
Volvo/EX90,# of stigs,3
Changan/CS95,# of stigs,3
Perodua/Bezza,# of stigs,3
Audi/SQ2,# of stigs,3
Toyota/Vios,# of stigs,3
Toyota/Aqua,# of stigs,3
GWM/Ora,# of stigs,3
Alpine/A110S,# of stigs,3
Mercedes-Benz/GLK-Class,# of stigs,3
GMC/Sierra 3500HD,# of stigs,3
Chery/Tiggo 8 Pro,# of stigs,3
Hummer/H2,# of stigs,3
BYD/Seal U,# of stigs,3
Audi/A6 allroad,# of stigs,3
Honda/ZR-V,# of stigs,3
Jaguar/XK,# of stigs,3
Toyota/MR2,# of stigs,3
Polestar/3,# of stigs,3
FIAT/Bravo,# of stigs,3
Alpine/A110,# of stigs,3
Ford/E-Series Van,# of stigs,3
FIAT/Pulse,# of stigs,3
Cadillac/CT5,# of stigs,3
Skoda/Slavia,# of stigs,3
Skoda/Octavia,# of stigs,3
Iveco/Daily,# of stigs,3
Toyota/Yaris iA,# of stigs,3
Nissan/NV200,# of stigs,3
INFINITI/QX50,# of stigs,3
LDV/T60,# of stigs,3
Mercedes-Benz/GLS-Class,# of stigs,3
Buick/Enclave,# of stigs,3
Citroen/Jumper,# of stigs,3
Chevrolet/Express Cargo,# of stigs,3
Mitsubishi/Eclipse Cross,# of stigs,3
Renault/Espace,# of stigs,3
BYD/Sealion 7,# of stigs,3
Vauxhall-Opel/Grandland,# of stigs,3
Buick/LeSabre,# of stigs,3
Audi/Q6,# of stigs,3
Dacia/Logan,# of stigs,3
Chevrolet/C/K 1500 Series,# of stigs,3
Volkswagen/Crafter,# of stigs,3
Cupra/Tavascan,# of stigs,3
Opel/Corsa,# of stigs,3
Chrysler/Delta,# of stigs,3
Ford/C-Max Energi,# of stigs,3
Saab/9-5,# of stigs,3
Suzuki/S-Cross,# of stigs,3
Peugeot/e-2008,# of stigs,3
Subaru/Tribeca,# of stigs,3
Volkswagen/T5 Transporter,# of stigs,3
Mitsubishi/Pajero Sport,# of stigs,3
Bentley/Brooklands,# of stigs,3
BYD/Sealion 6,# of stigs,3
Ford/C-Max Hybrid,# of stigs,3
OPEL/Crossland,# of stigs,3
Toyota/Aygo,# of stigs,3
BYD/Denza B8,# of stigs,3
Honda/S2000,# of stigs,3
BMW/i8,# of stigs,3
Ford/Flex,# of stigs,3
Mercedes-Benz/CLK-Class,# of stigs,3
Fisker/Ocean,# of stigs,3
Toyota/Matrix,# of stigs,3
BYD/Song Plus,# of stigs,3
Peugeot/107,# of stigs,2
Lotus/Eletre,# of stigs,2
Volkswagen/Jetta SportWagen,# of stigs,2
SsangYong/Tivoli,# of stigs,2
BMW/iX2,# of stigs,2
Nissan/NV400,# of stigs,2
Audi/TTS,# of stigs,2
Geely/Okavango,# of stigs,2
MINI/Convertible,# of stigs,2
Lotus/Evora,# of stigs,2
Chrysler/Town & Country,# of stigs,2
BYD/Dolphin Plus,# of stigs,2
Mercedes-Benz/Vito,# of stigs,2
Vauxhall-Opel/Meriva,# of stigs,2
Mercedes-Benz/AMG GT,# of stigs,2
Tesla/Model X,# of stigs,2
MG/RX8,# of stigs,2
BMW/2 Series Plug-in Hybrid,# of stigs,2
Nissan/Ariya,# of stigs,2
Audi/A8,# of stigs,2
Changan/UNI-T,# of stigs,2
Renault/Scenic E-Tech,# of stigs,2
Holden/Cruze,# of stigs,2
Changan/UNI-S,# of stigs,2
Nissan/240SX,# of stigs,2
Maserati/Ghibli,# of stigs,2
Suzuki/Splash,# of stigs,2
MG Rover/Rover 25,# of stigs,2
Mercedes-Benz/EQS SUV,# of stigs,2
FIAT/Ducato,# of stigs,2
Chery/Tiggo 8,# of stigs,2
Alfa Romeo/Junior,# of stigs,2
Toyota/Alphard,# of stigs,2
MAN/TGE,# of stigs,2
Mazda/5,# of stigs,2
Toyota/Supra,# of stigs,2
Abarth/500,# of stigs,2
Chevrolet/Caprice,# of stigs,2
BMW/Z3,# of stigs,2
Subaru/WRX STI,# of stigs,2
Jeep/Wagoneer,# of stigs,2
Nissan/Sunny,# of stigs,2
Ford/Torres,# of stigs,2
Rivian/R1S,# of stigs,2
Honda/CR-Z,# of stigs,2
Mercedes-Benz/EQE SUV,# of stigs,2
Volkswagen/Sharan,# of stigs,2
Mercedes-Benz/Citan,# of stigs,2
Renault/Laguna,# of stigs,2
Volkswagen/Taigun,# of stigs,2
Chevrolet/S-10,# of stigs,2
Peugeot/Boxer,# of stigs,2
OPEL/Grandland,# of stigs,2
Ligier/JS50,# of stigs,2
Ford/Tourneo,# of stigs,2
Xiaomi/SU7,# of stigs,2
Lexus/TX,# of stigs,2
Pontiac/Vibe,# of stigs,2
Citroen/C4 Picasso,# of stigs,2
Ford/E-450,# of stigs,2
Toyota/Prado,# of stigs,2
GWM/Haval,# of stigs,2
SsangYong/Rexton,# of stigs,2
FIAT/Freemont,# of stigs,2
Jaecoo/J8,# of stigs,2
Toyota/Veloz,# of stigs,2
Peugeot/505,# of stigs,2
Jeep/Wagoneer L,# of stigs,2
Buick/Regal,# of stigs,2
Jetour/X70,# of stigs,2
BYD/Han,# of stigs,2
Volkswagen/Fox,# of stigs,2
Kia/Sportage 2,# of stigs,2
Ford/Custom,# of stigs,2
GAC/GS4,# of stigs,2
Seat/Altea,# of stigs,2
Mazda/B-Series Pickup,# of stigs,2
Hyundai/ix35,# of stigs,2
Chevrolet/Silverado 3500,# of stigs,2
Ford/Transit Custom,# of stigs,2
Renault/Master,# of stigs,2
Chrysler/200,# of stigs,2
Hyundai/HB20,# of stigs,2
Chery/Omoda E5,# of stigs,2
Land Rover/Freelander,# of stigs,2
Jeep/Grand cheroki,# of stigs,2
Alfa Romeo/147,# of stigs,2
Chevrolet/tahoee,# of stigs,2
FIAT/124 Spider,# of stigs,2
Hyundai/Veracruz,# of stigs,2
INFINITI/M,# of stigs,2
Mercedes-Benz/EQC,# of stigs,2
Vauxhall-Opel/Zafira,# of stigs,2
INFINITI/Q60,# of stigs,2
Volkswagen/ID.6,# of stigs,2
Ford/Capri,# of stigs,2
Hyundai/Tiburon,# of stigs,2
Nissan/Magnite,# of stigs,2
Iveco/Z220,# of stigs,2
Suzuki/Kizashi,# of stigs,2
Lexus/HS,# of stigs,2
KTM/RC 390,# of stigs,2
MG/MG7,# of stigs,2
MG/EHS,# of stigs,2
Jeep/Wagoneer S,# of stigs,2
Lincoln/Town Car,# of stigs,2
Bentley/Bentayga,# of stigs,2
Renault/Kangoo,# of stigs,2
Kia/Soul EV,# of stigs,2
Land Rover/Discovery 5,# of stigs,2
Renault/Twingo,# of stigs,2
Xpeng/G6,# of stigs,2
